FeedLoop, Viacheslav_Gava:       	Resumed update feed loop channel 1137657151
UpdateHandler, Viacheslav_Gava:  	Saving update of type updateNewChannelMessage
FeedLoop, Viacheslav_Gava:       	Resumed update feed loop channel 1137657151
UpdateHandler, Viacheslav_Gava:  	Saving update of type updateNewChannelMessage
UpdateHandler, Viacheslav_Gava:  	Saving update of type updateNewChannelMessage
FeedLoop, Viacheslav_Gava:       	MSGID duplicate (22611) in update feed loop channel 1137657151
FeedLoop, Viacheslav_Gava:       	MSGID duplicate (22612) in update feed loop channel 1137657151
FeedLoop, Viacheslav_Gava:       	MSGID duplicate (22613) in update feed loop channel 1137657151
FeedLoop, Viacheslav_Gava:       	Resumed update feed loop channel 1137657151
Session, Viacheslav_Gava:        	Garbage collected 13 incoming messages in DC 2, 0 left
Session, Viacheslav_Gava:        	Can't garbage collect msgs_state_req with message ID 7330165991969971532 sent 4293 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, Viacheslav_Gava:        	Garbage collected 8 outgoing messages in DC 2, 1 left
UpdateHandler, Viacheslav_Gava:  	Parsing updates (updates) received via the socket...
SeqLoop, Viacheslav_Gava:        	Was fed updates of type updates...
FeedLoop, Viacheslav_Gava:       	Resumed update feed loop channel 1137657151
UpdateHandler, Viacheslav_Gava:  	Saving update of type updateEditChannelMessage
FeedLoop, Viacheslav_Gava:       	Resumed update feed loop channel 1137657151
UpdateHandler, Viacheslav_Gava:  	Saving update of type updateEditChannelMessage
FeedLoop, Viacheslav_Gava:       	Resumed update feed loop channel 1137657151
FeedLoop, Viacheslav_Gava:       	Got channel too long update, getting difference...
Session, Viacheslav_Gava:        	Garbage collected 11 incoming messages in DC 2, 0 left
Session, Viacheslav_Gava:        	Can't garbage collect msgs_state_req with message ID 7330165991969971532 sent 4303 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, Viacheslav_Gava:        	Garbage collected 9 outgoing messages in DC 2, 1 left
SessionPaths, Viacheslav_Gava:   	Waiting for exclusive lock of /var/www/html/session.madeline/safe.php.lock...
SessionPaths, Viacheslav_Gava:   	Got exclusive lock of /var/www/html/session.madeline/safe.php.lock...
SessionPaths, Viacheslav_Gava:   	Waiting for exclusive lock of /var/www/html/session.madeline/lightState.php.lock...
SessionPaths, Viacheslav_Gava:   	Got exclusive lock of /var/www/html/session.madeline/lightState.php.lock...
APIWrapper, Viacheslav_Gava:     	Saved session!
Session, Viacheslav_Gava:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session, Viacheslav_Gava:        	Can't garbage collect msgs_state_req with message ID 7330165991969971532 sent 4313 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, Viacheslav_Gava:        	Garbage collected 8 outgoing messages in DC 2, 1 left
PingLoop, Viacheslav_Gava:       	Ping DC 2.0
Session, Viacheslav_Gava:        	Garbage collected 9 incoming messages in DC 2, 0 left
Session, Viacheslav_Gava:        	Can't garbage collect msgs_state_req with message ID 7330165991969971532 sent 4323 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, Viacheslav_Gava:        	Garbage collected 11 outgoing messages in DC 2, 1 left
Session, Viacheslav_Gava:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session, Viacheslav_Gava:        	Can't garbage collect msgs_state_req with message ID 7330165991969971532 sent 4333 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, Viacheslav_Gava:        	Garbage collected 7 outgoing messages in DC 2, 1 left
SessionPaths, Viacheslav_Gava:   	Waiting for exclusive lock of /var/www/html/session.madeline/safe.php.lock...
SessionPaths, Viacheslav_Gava:   	Got exclusive lock of /var/www/html/session.madeline/safe.php.lock...
SessionPaths, Viacheslav_Gava:   	Waiting for exclusive lock of /var/www/html/session.madeline/lightState.php.lock...
SessionPaths, Viacheslav_Gava:   	Got exclusive lock of /var/www/html/session.madeline/lightState.php.lock...
APIWrapper, Viacheslav_Gava:     	Saved session!
Session, Viacheslav_Gava:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session, Viacheslav_Gava:        	Can't garbage collect msgs_state_req with message ID 7330165991969971532 sent 4343 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, Viacheslav_Gava:        	Garbage collected 8 outgoing messages in DC 2, 1 left
UpdateHandler, Viacheslav_Gava:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Viacheslav_Gava:       	Resumed update feed loop generic
UpdateHandler, Viacheslav_Gava:  	Saving update of type updateUserStatus
Session, Viacheslav_Gava:        	Garbage collected 9 incoming messages in DC 2, 0 left
Session, Viacheslav_Gava:        	Can't garbage collect msgs_state_req with message ID 7330165991969971532 sent 4353 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, Viacheslav_Gava:        	Garbage collected 8 outgoing messages in DC 2, 1 left
Session, Viacheslav_Gava:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session, Viacheslav_Gava:        	Can't garbage collect msgs_state_req with message ID 7330165991969971532 sent 4363 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, Viacheslav_Gava:        	Garbage collected 8 outgoing messages in DC 2, 1 left
SessionPaths, Viacheslav_Gava:   	Waiting for exclusive lock of /var/www/html/session.madeline/safe.php.lock...
SessionPaths, Viacheslav_Gava:   	Got exclusive lock of /var/www/html/session.madeline/safe.php.lock...
SessionPaths, Viacheslav_Gava:   	Waiting for exclusive lock of /var/www/html/session.madeline/lightState.php.lock...
SessionPaths, Viacheslav_Gava:   	Got exclusive lock of /var/www/html/session.madeline/lightState.php.lock...
APIWrapper, Viacheslav_Gava:     	Saved session!
Session, Viacheslav_Gava:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session, Viacheslav_Gava:        	Can't garbage collect msgs_state_req with message ID 7330165991969971532 sent 4373 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, Viacheslav_Gava:        	Garbage collected 8 outgoing messages in DC 2, 1 left
UpdateHandler, Viacheslav_Gava:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Viacheslav_Gava:       	Resumed update feed loop generic
UpdateHandler, Viacheslav_Gava:  	Saving update of type updateUserStatus
PingLoop, Viacheslav_Gava:       	Ping DC 2.0
Session, Viacheslav_Gava:        	Garbage collected 10 incoming messages in DC 2, 0 left
